X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-100.712009834107,46.0340076050029,153,ND4603410071220031021,Initial (SS),NULL,70320282003300,-9999,-30,-210,-300,46.034,-100.712,Wildfire,24,-9999,2003/10/21 00:00:00+00,2119
-121.16701289488,37.0960050157541,166,CA3709612116720030616,Initial,50430342002197,50430342003200,-970,120,352,625,37.096,-121.167,Wildfire,152,-150,2003/06/16 00:00:00+00,1703
-121.328013528033,41.7430053925095,236,CA4174312132820030726,Initial,50440312002204,50440312003300,-970,75,260,9999,41.743,-121.328,Wildfire,ACKLEY,-150,2003/07/26 00:00:00+00,10231
-119.100012303516,34.4030048795003,242,CA3440311910020030903,Initial,50410362002263,50410362003300,-970,25,300,600,34.403,-119.1,Prescribed Fire,ADAMS CANYON PHASE 1,-150,2003/09/03 00:00:00+00,1233
-95.8070088786684,48.3530082904418,258,MN4835309580720030502,Initial,50290262001128,50290262003100,-970,80,9999,9999,48.353,-95.807,Wildfire,AGASSIZ,-150,2003/05/02 00:00:00+00,1431
-121.274013886486,43.9230055565634,312,OR4392312127420030723,Extended,50450292003198,50450292004200,-970,20,199,410,43.923,-121.274,Wildfire,18 FIRE,-150,2003/07/23 00:00:00+00,3971
-104.86001112579,47.2940073987481,391,MT4729410486020030827,Initial (SS),NULL,50350272003400,-9999,115,-9999,-9999,47.294,-104.86,Wildfire,3 MILE,-9999,2003/08/27 00:00:00+00,3394
-120.443013177259,40.3370053541351,470,CA4033712044320030702,Initial,70430322001234,50430322003200,-970,50,243,470,40.337,-120.443,Wildfire,A-3,-150,2003/07/02 00:00:00+00,1153
-120.519014278591,46.5180058052837,522,WA4651812051920030627,Initial,50450282002211,50450282003200,-970,50,297,570,46.518,-120.519,Wildfire,AHTANUM RIDGE,-150,2003/06/27 00:00:00+00,2496
-118.210012308061,36.118005116111,550,CA3611811821020030903,Extended,50410352003186,50410352004200,-970,90,257,470,36.118,-118.21,Wildfire,ALBANITA AND HOOKER,-150,2003/09/03 00:00:00+00,4946
-144.738026720956,65.5820023458388,551,AK6558214473820030617,Extended,70670142000176,50670142003200,-970,80,318,590,65.582,-144.738,Wildfire,ALBERT CREEK,-150,2003/06/17 00:00:00+00,1537
-117.13601327296,44.5160059934521,650,ID4451611713620030728,Initial,70420292002134,50420292004200,-970,60,250,9999,44.516,-117.136,Wildfire,ANDY,-150,2003/07/28 00:00:00+00,1085
-121.245012921992,37.2300050223432,660,CA3723012124520030827,Extended,50430342003232,50430342004200,-970,110,233,410,37.23,-121.245,Wildfire,ANNIE,-150,2003/08/27 00:00:00+00,17383
-113.819011613424,37.1500055178992,701,UT3715011381920030628,Initial,50390342003172,50390342003200,-970,60,198,380,37.15,-113.819,Wildfire,APEX,-150,2003/06/28 00:00:00+00,31000
-110.777010620724,32.4330050629736,730,AZ3243311077720030617,Extended,50360372001161,50360372004200,-970,150,350,600,32.433,-110.777,Wildfire,ASPEN,-150,2003/06/17 00:00:00+00,79707
